word,frequency,song_count,song_percentage
起来,80,47,1.3378878451465983
清晨,33,21,0.5977796754910333
咖啡,23,19,0.5408482778252206
安静,102,60,1.7079419299743808
一支,22,13,0.3700540848277825
黑色,49,15,0.4269854824935952
爱是,58,28,0.7970395673213778
大为,28,26,0.740108169655565
一段,49,32,0.9109023626530032
独自,99,54,1.5371477369769428
陪伴,30,18,0.5123825789923143
彷徨,40,16,0.4554511813265016
情节,26,14,0.3985197836606889
期待,157,89,2.5334471961286646
静静,37,22,0.6262453743239397
无声,25,18,0.5123825789923143
夏季,27,5,0.14232849416453175
却是,22,15,0.4269854824935952
尴尬,46,16,0.4554511813265016
身体,97,58,1.651010532308568
午夜,38,18,0.5123825789923143
笑话,43,22,0.6262453743239397
时光,186,97,2.7611727867919154
混乱,20,13,0.3700540848277825
意义,67,43,1.224025049814973
方式,61,34,0.9678337603188157
设计,90,80,2.277255906632508
看看,57,36,1.0247651579846286
一眼,62,38,1.0816965556504412
配合,27,14,0.3985197836606889
演出,21,10,0.2846569883290635
最爱,26,13,0.3700540848277825
表演,30,14,0.3985197836606889
曾经,323,169,4.810703102761173
我该,37,17,0.48391688015940787
样子,36,21,0.5977796754910333
厌倦,26,20,0.569313976658127
放下,72,33,0.9393680614859093
防备,36,23,0.6547110731568461
怎样,99,45,1.2809564474807857
不用说,24,10,0.2846569883290635
谎言,55,38,1.0816965556504412
可怜,47,22,0.6262453743239397
有点,98,57,1.6225448334756618
场景,22,17,0.48391688015940787
习惯,137,83,2.3626530031312267
情感,23,18,0.5123825789923143
不在意,32,19,0.5408482778252206
是因为,62,39,1.1101622544833476
选择,137,76,2.1633931113008824
美丽,269,137,3.89980074010817
听见,149,65,1.8502704241389125
声音,142,85,2.4195844007970395
人群,46,29,0.825505266154284
关系,42,19,0.5408482778252206
确定,53,23,0.6547110731568461
平静,23,15,0.4269854824935952
争吵,21,11,0.31312268716196984
仿佛,93,50,1.4232849416453175
没爱过,21,8,0.2277255906632508
根本,42,21,0.5977796754910333
路过,107,30,0.8539709649871904
